Date,Open,High,Low,Close,Volume,Adj Close
2004-09-09 00:00:00,102.832302312,102.028739962,99.6699781826,100.671195755,1624425.94604,51.6391024284
2004-09-09 00:01:00,104.412795366,101.156845669,104.647054952,103.688592223,3480520.52402,50.3383652288
2004-09-09 00:02:00,99.0583429157,103.713311925,99.4111607155,104.029151209,2694078.08378,52.5330191814
2004-09-09 00:03:00,102.349982071,104.285124551,102.893183877,102.593341959,2656597.42809,51.4785585867
2004-09-09 00:04:00,103.285817241,101.960537487,97.9626047352,102.98981059,6453961.02019,51.2006472009
2004-09-09 00:05:00,104.978326456,100.326769441,102.641562341,100.576541761,0.01,52.5575827069
2004-09-09 00:06:00,104.44371349,101.706212653,99.4577136937,104.910512,3535022.6232,49.9784327931
2004-09-09 00:07:00,103.006688361,101.020656161,102.313189042,99.4373818093,3684192.7499,51.8041485389
2004-09-09 00:08:00,102.640150199,103.081805959,100.211426498,102.408751049,4489564.16154,51.408963447
2004-09-09 00:09:00,100.583765712,103.299891614,102.725786609,99.7186527654,4476106.08881,52.6743953574
2004-09-09 00:10:00,104.618295914,97.2174205533,101.831247274,102.902005487,3756782.9423,50.8543873794
2004-09-09 00:11:00,100.163081143,103.553289459,101.32735958,102.301664441,3876168.59135,49.4779262137
2004-09-09 00:12:00,103.351188833,99.5533811658,102.866419277,100.399337553,3432548.86241,50.9025810026
2004-09-09 00:13:00,99.9118947981,99.9884239603,103.403903577,102.450654333,1795751.92395,49.9221905613
2004-09-09 00:14:00,104.184699679,102.326244566,100.458551427,104.789312172,5006840.49714,50.275310884
2004-09-09 00:15:00,100.551393044,102.393342694,101.101662923,104.602968734,4548217.97108,52.1605965499
2004-09-09 00:16:00,103.612866998,103.250790693,101.142574816,103.107928965,3121497.15206,52.2708599804
2004-09-09 00:17:00,103.620023554,102.693516807,97.5370938392,102.087171994,747659.076391,51.4867122873
2004-09-09 00:18:00,102.128347398,101.371420119,103.758118642,102.731925143,2232468.25555,51.0616917845
2004-09-09 00:19:00,99.931584446,104.334986423,105.416108946,102.084104948,3035212.02829,51.6068236271
2004-09-09 00:20:00,103.550258633,109.169640261,97.5296635464,101.989222462,4545304.98832,50.3271551481
2004-09-09 00:21:00,101.756129462,105.844188689,102.088935483,104.038024712,1573566.64102,51.2298730382
2004-09-09 00:22:00,105.111423432,99.1332732005,100.229402731,100.310940293,891784.371975,52.7472216536
2004-09-09 00:23:00,105.411985163,103.745417018,102.073864463,104.360278922,6877143.23269,53.5451056118
2004-09-09 00:24:00,100.057787184,101.086936795,102.607572413,103.545528355,5087655.59862,51.2839188585
2004-09-09 00:25:00,102.826595742,103.169511391,97.4964646349,99.4104676829,4368469.51323,50.8807615035
2004-09-09 00:26:00,103.79189151,103.112035438,101.297617349,104.584397923,4050422.531,50.3374827535
2004-09-09 00:27:00,102.766896054,101.632751145,101.991388546,104.019662326,6157746.728,50.888961166
2004-09-09 00:28:00,102.717701392,101.140822341,99.1102387231,99.5772980906,2011452.25475,50.4364236069
2004-09-09 00:29:00,103.225915722,104.063760526,102.984193166,101.139657174,1922982.92226,50.7447497438
